Et,TauMinor,k
2.941470360049505683e-01,4.927839270263165730e-07,9.875760965992237406e-01
-4.832797661186557514e-01,3.027757086343133731e-09,2.859452015997129593e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.943766658225996924e-01,4.904470095063435413e-07,9.943802544082250838e-01
-2.998969566950751009e-01,4.891947666015578019e-07,9.990472273583504981e-01
2.940886758333950968e-01,4.916289712194639489e-07,9.920666327034364240e-01
-5.147615190875238778e-01,1.252848488100708492e-09,7.151714836496987573e+02
2.941822808282901769e-01,4.956728347951247575e-07,9.791964617782433766e-01
-4.413506758706108313e-01,1.050359200400726483e-08,8.489640427586509475e+01
